business_name,city,state,website,phone,organic_signals,tier_estimate,source
"Minnesota Topsoil",Carver,MN,https://minnesotatopsoil.com,(952) 217-8143,"4.3 stars; nutrient-rich organic fertilizers; gardening/farming/landscaping; garden blend",B,Google Local Results
"Kern Landscape Resources",Multiple,MN,https://www.kernlandscaping.com,,"Organic Garden Blend (composted cow manure + vegetative compost); soil quality and biodiversity",B,Google Search
"Gertens",Inver Grove Heights,MN,https://www.gertens.com,,"Soils/composts/conditioners by bag/pallet/tote/bulk; bagged and bulk",B,Google Search
"Tilth Soil",Lorain,OH,https://www.tilthsoil.com,,"Organic peat-free living compost; blended raised bed mixes; bulk delivery Northeast Ohio; scheduled pick-ups",A,Google Search
"Kurtz Bros. Central Ohio",Columbus,OH,https://www.kbcolumbus.com,,"25+ years; premium bulk mulches/topsoils/composts/aggregates; homeowners and professionals",B,Google Search
"Price Farms Organics",Delaware,OH,https://www.pricefarms.com,(740) 369-1000,"4.8 stars; best place in Columbus area for soil and compost",B,Google Local Results
"Green Vision Materials",Northeast,OH,https://greenvisionmaterials.com,,"Soil & compost in Northeast Ohio; sustainable options; residential and commercial",B,Google Search
"1st Impressions",Sunbury,OH,https://1stgardencenter.com,,"Premium bulk soil and compost; Growers Blend/Professional Blend/Sweet Peet Organic",B,Google Search
"MidWest Compost LLC",Multiple,IL,https://midwestcompostllc.com,,"Garden Mix - nutrient-rich soil mix; designed to enhance plant growth; improve soil structure",B,Google Search
"Midwest Organics Recycling",Multiple,IL,https://www.midwestorganicsrecycling.com,,"Topsoil blend (50/50 Organimix compost and local topsoil screened at 1 inch)",B,Google Search
"The Grove Firewood and Mulch",Sugar Grove,IL,https://thegrovefm.com,(630) 686-8880,"5.0 stars (306 reviews); bulk topsoil/compost/garden mix",B,Google Search
"Fox Landscape Supply",Multiple,IL,https://www.foxlandscapesupply.com,,"Nutrient-rich compost; planting mix; variety of dirt and topsoil products",B,Google Search
"Musselman Landscaping",Indianapolis,IN,https://musselmanlandscape.com,,"MANUFACTURER of complete line mulches; professional growing mixes; soil amendments",A,Google Search
"GreenCycle",Indianapolis,IN,https://greencycle.com,,"High quality mulch/stone/soil; organic mulches from recycled materials",B,Google Search
"Tiffany Lawn & Garden Supply",Multiple,IN,https://tiffanylawnandgarden.com,,"Bulk and bagged mulch; organic soil; custom soil blends; natural stone",B,Google Search
"McCarty Mulch",Indianapolis,IN,https://www.landscapemulch.com,,"Bulk topsoil for delivery; Indianapolis area; multiple options",B,Google Search
"Purple Cow Organics",Multiple,WI/IN,https://www.purplecoworganics.com,,"Organic compost to revitalize soil; 100% organic manure-free products",B,Google Search
"Tuthill Farms & Composting Inc",South Lyon,MI,https://www.tuthillfarms.com,(734) 449-8100,"4.9 stars (56 reviews); great compost and soil mixtures",B,Google Local Results
"Dairy Doo",Multiple,MI,https://dairydoo.com,,"Sustainable organic compost; signature compost for soil health; added biology and carbon",B,Google Search
"Michigan Peat Company",Multiple,MI,N/A,,"BACCTO brand; organic compost/manure; large manufacturer; raised bed soil",B,Google Search
"Rock Bottom Landscape Supply",Multiple,MI,https://rbstonesupply.com,,"Bulk topsoil & compost; contractors and homeowners; planting mix nutrient-rich",B,Google Search
"Dig It Super Soil",Multiple,MI,https://digitsoil.com,,"Michigan's best all organic potting soil mix; huge delicious vegetables",B,Google Search
"Spurt Industries",Wixom,MI,https://www.spurtindustries.com,(248) 912-4279,"4.8 stars; quality compost and topsoil; topsoil supplier",B,Google Local Results
"Midwest Compost Solutions Inc",Rock Valley,IA,https://midwestcompostsolutionsinc.com,(712) 470-9274,"Natural compost; top-dressing lawns/garden beds/landscape; microorganisms to soil",B,Google Search
"Mulch Barn",Swisher,IA,https://mulchbarn.net,,"Screened topsoil; mushroom soil; compost blends; top-dressing/new garden beds/lawn repair",B,Google Search
"Ever-Green Landscape Construction Supply",Iowa City,IA,https://www.evergreeninc.com,,"Array of materials from mulch to garden soil",B,Google Search
"Steenhoek Environmental",Multiple,IA,https://www.secompost.com,,"Iowa compost products; microbes to break down inputs; build humus into compost",B,Google Search
"City of Davenport Compost Facility",Davenport,IA,https://davenportiowa.com,,"Bulk compost; organic potting soil; soil amendments; mulch; firewood; $22/cubic yard",C,Google Search
"TNT Landscaping & Nursery",Des Moines area,IA,N/A,,"Stocks bulk compost and topsoil; delivery available (mentioned in Facebook gardening group)",B,Facebook community
"Organic Mechanics Soil",Multiple,PA/Regional,https://organicmechanicsoil.com,,"OMRI-listed; wholesale & bulk; coconut coir-based; living soil; earthworm castings; 60 cu ft super sacks",A,Google Search
"Jiffy Products of America",Lorain,OH,N/A,(800) 323-1047,"Soil Blenders - mentioned as Wisconsin distributor on BioWorks site",B,BioWorks listing
"The Madison Greenhouse Store",Madison,WI,https://www.madisongreenhousestore.com,,"Producing highest quality organic potting soils and amendments",B,Google Search
